,NaN,Mean,Std,Min,Max,p_MW_corrected,univar_auc
original_glrlm_ShortRunLowGrayLevelEmphasis,0,0.07062633681380209,0.021981003543770715,0.025861234,0.19668184800000002,5.2995799768691074e-20,0.7551613438866441
original_glszm_GrayLevelNonUniformity,0,15.474236672829427,5.432709737052963,7.3555555560000005,51.75213675,6.616083980741788e-08,0.6626722754192728
original_glszm_GrayLevelNonUniformityNormalized,0,0.22153134751692685,0.04821650436352142,0.14863258,0.5071681570000001,3.643450433713866e-07,0.6546742680024353
original_glszm_GrayLevelVariance,0,3.1844917328606788,0.709064551922718,1.091921066,5.342745638,3.954051257011403e-13,0.7093319311451818
original_glszm_HighGrayLevelZoneEmphasis,0,18.180885311628916,4.481696069904897,7.0819672129999995,35.803030299999996,1.5271558064076776e-23,0.7777162782974484
original_glszm_LargeAreaEmphasis,0,76452.30576282548,19700.805968009463,29913.95122,152194.2667,5.064075579276982e-05,0.631139646869984
original_glszm_LargeAreaHighGrayLevelEmphasis,0,1188748.8703378912,533970.6073455603,376066.8228,3832003.52,1.2670482665049404e-07,0.6612663972989429
original_glszm_LargeAreaLowGrayLevelEmphasis,0,6723.216350242193,3093.890680701381,1906.145002,18150.67538,4.133779944110298e-23,0.7725743067471079
original_glszm_LowGrayLevelZoneEmphasis,0,0.212943759751302,0.09098684127800923,0.058663454000000004,0.615310185,6.360225297574157e-05,0.6304754524824265
original_glszm_SizeZoneNonUniformity,0,26.530962628776035,6.835486175165486,10.19047619,55.49462366,0.0035415754228773555,0.6083688492832235
original_glszm_SizeZoneNonUniformityNormalized,0,0.3839827162682293,0.06312892125313782,0.216891698,0.640136719,1.0,0.5505894725189572
original_glszm_SmallAreaEmphasis,0,0.6363142554088549,0.05293819987838264,0.472396734,0.8104568659999999,1.0,0.5516577184922787
original_glszm_SmallAreaHighGrayLevelEmphasis,0,11.707262246964847,3.4217652368496294,3.609122118,24.49188561,1.8692599440429967e-16,0.7332207892843305
original_glszm_SmallAreaLowGrayLevelEmphasis,0,0.14792993806250018,0.06724265355230755,0.022717857,0.37423457299999996,7.199946841875039e-06,0.6420711794985332
original_glszm_ZoneEntropy,0,4.040125848083332,0.28364299544957344,2.684499633,4.757881007,3.1713900084378225e-05,0.6354513754358776
original_glszm_ZonePercentage,0,0.015268807867187489,0.002621917352943163,0.008888889,0.026444443999999998,0.0033930722937721043,0.6066474788288039
original_glszm_ZoneVariance,0,71780.93672272145,19382.141692691028,26902.350980000003,146569.2667,1.0062675069534701e-05,0.6377262412132617
original_ngtdm_Busyness,0,20.134628474528675,6.6710396438603805,8.221667311000001,50.09155859,1.4067314875278912e-16,0.7325233851773952
original_ngtdm_Coarseness,0,0.0021439469843749985,0.00029462881664075465,0.00139976,0.00298248,6.804513028145624e-09,0.6728787291747383
original_ngtdm_Complexity,0,7.544043885654947,1.5670106607572674,3.359440391,12.14000809,1.0,0.5591575801184481
original_ngtdm_Contrast,0,0.02640463418619794,0.006973123992848338,0.007339179,0.048639515999999994,4.466839767904538e-05,0.6337853545137543
original_ngtdm_Strength,0,0.03295771248958334,0.00960770862021201,0.012500093,0.071594878,4.708777906377064e-06,0.6460729506835666
